U_star, Amplitude, DOF_ID (1=Heave 2=Pitch 3=Flap)
2.606596,0.232388,1.000000
2.606596,0.232467,1.000000
2.606596,0.232537,1.000000
2.606596,0.232600,1.000000
2.613281,0.232222,1.000000
2.613281,0.232514,1.000000
2.613281,0.232767,1.000000
2.613281,0.232995,1.000000
2.613281,0.233198,1.000000
2.613281,0.233375,1.000000
2.613281,0.233535,1.000000
2.613281,0.233676,1.000000
2.613281,0.233800,1.000000
2.613281,0.233912,1.000000
2.613281,0.234009,1.000000
2.613281,0.234096,1.000000
2.613281,0.234174,1.000000
2.613281,0.234242,1.000000
2.620057,0.233653,1.000000
2.620057,0.233971,1.000000
2.620057,0.234262,1.000000
2.620057,0.234513,1.000000
2.620057,0.234738,1.000000
2.620057,0.234940,1.000000
2.620057,0.235115,1.000000
2.620057,0.235272,1.000000
2.620057,0.235412,1.000000
2.620057,0.235535,1.000000
2.620057,0.235645,1.000000
2.620057,0.235742,1.000000
2.620057,0.235828,1.000000
2.620057,0.235905,1.000000
2.626919,0.235035,1.000000
2.626919,0.235402,1.000000
2.626919,0.235720,1.000000
2.626919,0.236012,1.000000
2.626919,0.236265,1.000000
2.626919,0.236489,1.000000
2.626919,0.236692,1.000000
2.626919,0.236867,1.000000
2.626919,0.237024,1.000000
2.626919,0.237165,1.000000
2.626919,0.237287,1.000000
2.626919,0.237397,1.000000
2.626919,0.237495,1.000000
2.626919,0.237580,1.000000
2.633865,0.236342,1.000000
2.633865,0.236766,1.000000
2.633865,0.237138,1.000000
2.633865,0.237463,1.000000
2.633865,0.237759,1.000000
2.633865,0.238016,1.000000
2.633865,0.238244,1.000000
2.633865,0.238450,1.000000
2.633865,0.238628,1.000000
2.633865,0.238788,1.000000
2.633865,0.238931,1.000000
2.633865,0.239055,1.000000
2.633865,0.239167,1.000000
2.633865,0.239266,1.000000
2.640890,0.237537,1.000000
2.640890,0.238026,1.000000
2.640890,0.238466,1.000000
2.640890,0.238845,1.000000
2.640890,0.239188,1.000000
2.640890,0.239493,1.000000
2.640890,0.239757,1.000000
2.640890,0.239996,1.000000
2.640890,0.240207,1.000000
2.640890,0.240391,1.000000
2.640890,0.240558,1.000000
2.640890,0.240704,1.000000
2.640890,0.240833,1.000000
2.647992,0.237868,1.000000
2.647992,0.238537,1.000000
2.647992,0.239106,1.000000
2.647992,0.239643,1.000000
2.647992,0.240099,1.000000
2.647992,0.240501,1.000000
2.647992,0.240873,1.000000
2.647992,0.241188,1.000000
2.647992,0.241471,1.000000
2.647992,0.241728,1.000000
2.647992,0.241946,1.000000
2.647992,0.242145,1.000000
2.647992,0.242321,1.000000
2.647992,0.242473,1.000000
2.655166,0.238336,1.000000
2.655166,0.239145,1.000000
2.655166,0.239868,1.000000
2.655166,0.240536,1.000000
2.655166,0.241093,1.000000
2.655166,0.241604,1.000000
2.655166,0.242062,1.000000
2.655166,0.242450,1.000000
2.655166,0.242809,1.000000
2.655166,0.243122,1.000000
2.655166,0.243394,1.000000
2.655166,0.243644,1.000000
2.655166,0.243860,1.000000
2.655166,0.244050,1.000000
2.662410,0.237736,1.000000
2.662410,0.238829,1.000000
2.662410,0.239867,1.000000
